state,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplace,residential,party,population,order,corona_mean,mean_divided_population
Alabama,-41,-13,19,-30,-32,9,republican,4908621,2020-04-03,2491,5.074745025130276e-4
California,-50,-24,-38,-54,-39,15,democrat,39937489,2020-03-19,18370,4.5996882778484143e-4
Connecticut,-56,-32,-52,-64,-38,15,democrat,3563077,2020-03-23,8592.5,0.0024115392398199645
District of Columbia,-64,-30,-41,-68,-47,14,democrat,720687,NA,1390,0.0019287152397642804
Georgia,-42,-17,-2,-52,-37,11,republican,10736059,2020-04-03,9403,8.758334878748338e-4
Idaho,-42,-18,25,-34,-38,10,republican,1826156,2020-03-25,1237,6.773791505216422e-4
Indiana,-48,-25,24,-34,-36,11,republican,6745354,2020-03-24,5923,8.780858647300053e-4
Kansas,-36,-14,72,-20,-30,9,republican,2910357,2020-03-30,1013,3.480672646001848e-4
Louisiana,-45,-16,-18,-49,-35,11,republican,4645184,2020-03-23,16512,0.003554649288381257
Maryland,-45,-25,29,-51,-39,13,democrat,6083116,2020-03-30,5655.5,9.297044475232759e-4
Michigan,-58,-28,15,-55,-43,12,republican,10045029,2020-03-24,19661.5,0.0019573363103282232
Mississippi,-32,-7,27,-29,-30,9,republican,2989260,2020-04-03,2140,7.158962418792611e-4
Montana,-51,-25,28,-37,-37,10,republican,1086759,2020-03-28,331.5,3.050354310385283e-4
Nevada,-47,-23,-38,-62,-52,14,democrat,3139658,2020-04-01,2278.5,7.257159856264599e-4
New Jersey,-59,-33,-36,-70,-44,16,democrat,8936574,2020-03-21,47828,0.005351939121188948
New York,-62,-32,-47,-68,-46,16,democrat,19440469,2020-03-22,152093,0.007823525245198559
North Dakota,-44,-13,73,-36,-24,9,republican,761723,NA,250,3.282032969990403e-4
Oklahoma,-36,-12,29,-23,-32,9,republican,3954821,2020-04-01,1561,3.947081296473342e-4
Pennsylvania,-50,-27,7,-52,-38,12,republican,12820878,2020-04-01,16654,0.0012989749999961
South Carolina,-38,-11,-4,-34,-34,9,republican,5210095,2020-04-06,2630,5.047892600806703e-4
Tennessee,-35,-9,35,-35,-34,8,republican,6897576,2020-04-02,4382.5,6.353681351245713e-4
Utah,-41,-14,26,-44,-40,10,republican,3282115,NA,1905,5.804184192205332e-4
Virginia,-39,-16,46,-50,-36,11,democrat,8626207,2020-03-30,3858.5,4.47299722809805e-4
West Virginia,-38,-16,52,-31,-33,8,republican,1778070,2020-03-24,450.5,2.533646031933501e-4
Wyoming,-37,-13,29,-14,-29,8,republican,567025,NA,229,4.038622635686257e-4
Alaska,-48,-27,18,-55,-33,10,republican,734002,2020-03-28,221,3.0108909784986964e-4
Colorado,-51,-27,-12,-60,-40,13,democrat,5845526,2020-03-26,5731.5,9.804934577316053e-4
Delaware,-47,-28,-6,-57,-37,12,democrat,982895,2020-03-24,1076,0.0010947252758432995
Florida,-50,-26,-48,-63,-41,13,republican,21992985,2020-04-03,15422,7.012235947053117e-4
Hawaii,-56,-36,-65,-72,-45,16,democrat,1412687,2020-03-25,418,2.9589003084193457e-4
Illinois,-53,-24,-29,-55,-39,13,democrat,12659682,2020-03-21,15219.5,0.0012022023933934518
Iowa,-43,-10,41,-28,-29,10,republican,3179849,NA,1189.5,3.7407436642431766e-4
Kentucky,-37,-11,68,-34,-34,9,republican,4499692,2020-03-26,1324,2.9424236147718554e-4
Maine,-50,-22,-24,-56,-31,10,democrat,1345790,2020-04-02,543,4.034804835821339e-4
Massachusetts,-59,-36,-56,-73,-42,16,democrat,6976597,2020-03-24,17680,0.0025341867962274446
Minnesota,-58,-35,-16,-64,-38,14,democrat,5700671,2020-03-27,1181,2.0716859471455202e-4
Missouri,-38,-12,73,-34,-32,9,republican,6169270,2020-04-03,3227.5,5.231575210681329e-4
Nebraska,-34,-9,109,-18,-24,8,republican,1952570,NA,531.5,2.722053498722197e-4
New Hampshire,-58,-35,-63,-63,-38,13,democrat,1371246,2020-03-27,753,5.491356036772396e-4
New Mexico,-44,-18,-12,-31,-34,11,democrat,2096640,2020-03-24,880.5,4.1995764652014655e-4
North Carolina,-40,-15,13,-51,-35,10,republican,10611862,2020-03-30,3501.5,3.299609437062035e-4
Ohio,-43,-19,117,-33,-35,10,republican,11747694,2020-03-22,5146.5,4.3808597670317255e-4
Oregon,-51,-25,-22,-47,-38,12,democrat,4301089,2020-03-23,1219.5,2.8353284482139293e-4
Rhode Island,-55,-30,-50,-67,-37,14,democrat,1056161,2020-03-28,1635.5,0.001548532846791351
South Dakota,-35,-3,126,-31,-25,8,republican,903027,NA,433,4.7949839816528186e-4
Texas,-45,-23,-27,-47,-36,13,republican,29472295,2020-04-02,10116,3.432376067082662e-4
Vermont,-62,-42,-55,-71,-43,13,democrat,628061,2020-03-25,611.5,9.736315421591215e-4
Washington,-48,-26,-11,-56,-41,13,democrat,7797095,2020-03-23,9129.5,0.0011708847974790612
Wisconsin,-55,-30,-12,-50,-34,13,republican,5851754,2020-03-25,2766.5,4.727642344500469e-4
